parent_material_id,child_material_id,quantity
MAT_T0_00005,MAT_T1_02689,16.21
MAT_T0_00005,MAT_T1_00912,13.45
MAT_T0_00005,MAT_T1_01364,18.18
MAT_T0_00017,MAT_T1_03592,8.73
MAT_T0_00017,MAT_T1_03211,2.64
MAT_T0_00027,MAT_T1_06237,15.08
MAT_T0_00027,MAT_T1_00908,14.87
MAT_T0_00027,MAT_T1_01118,5.43
MAT_T0_00027,MAT_T1_02151,16.22
MAT_T0_00027,MAT_T1_03211,14.49
MAT_T0_00070,MAT_T1_04912,5.07
MAT_T0_00070,MAT_T1_00686,15.58
MAT_T0_00070,MAT_T1_02139,12.84
MAT_T0_00076,MAT_T1_01840,5.55
MAT_T0_00076,MAT_T1_04829,16.57
MAT_T0_00076,MAT_T1_04516,3.2
MAT_T0_00076,MAT_T1_05778,3.21
MAT_T0_00076,MAT_T1_04428,1.49
MAT_T0_00076,MAT_T1_00908,4.14
MAT_T0_00076,MAT_T1_01878,2.64
MAT_T0_00076,MAT_T1_05115,14.22
MAT_T0_00078,MAT_T1_02151,19.88
MAT_T0_00078,MAT_T1_05208,1.75
MAT_T0_00078,MAT_T1_00846,6.51
MAT_T0_00083,MAT_T1_03261,4.09
MAT_T0_00083,MAT_T1_05908,10.99
MAT_T0_00083,MAT_T1_00340,12.44
MAT_T0_00090,MAT_T1_05865,11.99
MAT_T0_00090,MAT_T1_05771,13.87
MAT_T0_00090,MAT_T1_06659,6.74
MAT_T0_00090,MAT_T1_05503,7.85
MAT_T0_00090,MAT_T1_00709,4.58
MAT_T0_00095,MAT_T1_06045,1.69
MAT_T0_00095,MAT_T1_01087,3.93
MAT_T0_00095,MAT_T1_06082,13.74
MAT_T0_00095,MAT_T1_06194,4.65
MAT_T0_00104,MAT_T1_04195,19.22
MAT_T0_00104,MAT_T1_05926,5.44
MAT_T0_00104,MAT_T1_02179,9.19
MAT_T0_00104,MAT_T1_00982,17.39
MAT_T0_00104,MAT_T1_04630,8.58
MAT_T0_00144,MAT_T1_00517,19.5
MAT_T0_00144,MAT_T1_03193,14.52
MAT_T0_00157,MAT_T1_00686,2.62
MAT_T0_00157,MAT_T1_05014,17.31
MAT_T0_00164,MAT_T1_02264,3.19
MAT_T0_00164,MAT_T1_05798,10.62
MAT_T0_00164,MAT_T1_05927,15.49
MAT_T0_00164,MAT_T1_00971,6.52
MAT_T0_00164,MAT_T1_06473,7.1
MAT_T0_00166,MAT_T1_00289,15.85
MAT_T0_00166,MAT_T1_01115,1.44
MAT_T0_00166,MAT_T1_02568,17.86
MAT_T0_00166,MAT_T1_02171,5.73
MAT_T0_00174,MAT_T1_02835,9.17
MAT_T0_00174,MAT_T1_06218,19.2
MAT_T0_00174,MAT_T1_04006,2.46
MAT_T0_00199,MAT_T1_05439,14.44
MAT_T0_00199,MAT_T1_04964,13.41
MAT_T0_00199,MAT_T1_04194,3.89
MAT_T0_00199,MAT_T1_03812,2.43
MAT_T0_00199,MAT_T1_00566,8.17
MAT_T0_00199,MAT_T1_05124,15.18
MAT_T0_00199,MAT_T1_04762,3.24
MAT_T0_00199,MAT_T1_03821,1.5
MAT_T0_00199,MAT_T1_01563,4.72
MAT_T0_00199,MAT_T1_03919,10.45
MAT_T0_00208,MAT_T1_06637,19.48
MAT_T0_00208,MAT_T1_05213,13.76
MAT_T0_00208,MAT_T1_00746,19.56
MAT_T0_00208,MAT_T1_00974,2.04
MAT_T0_00208,MAT_T1_06737,15.64
MAT_T0_00209,MAT_T1_04617,12.63
MAT_T0_00209,MAT_T1_00294,17.33
MAT_T0_00209,MAT_T1_01908,4.91
MAT_T0_00209,MAT_T1_06057,9.07
MAT_T0_00254,MAT_T1_04829,12.28
MAT_T0_00254,MAT_T1_00213,6.34
MAT_T0_00254,MAT_T1_00107,18.37
MAT_T0_00254,MAT_T1_03812,17.39
MAT_T0_00260,MAT_T1_04236,14.11
MAT_T0_00260,MAT_T1_06324,2.13
MAT_T0_00260,MAT_T1_02627,10.37
MAT_T0_00260,MAT_T1_01380,15.1
MAT_T0_00260,MAT_T1_02637,7.05
MAT_T0_00260,MAT_T1_02265,16.56
MAT_T0_00262,MAT_T1_00246,6.21
MAT_T0_00262,MAT_T1_06122,1.92
MAT_T0_00262,MAT_T1_05124,9.0
MAT_T0_00262,MAT_T1_00656,5.74
MAT_T0_00304,MAT_T1_02262,6.67
MAT_T0_00337,MAT_T1_00294,7.42
MAT_T0_00337,MAT_T1_04314,11.16
MAT_T0_00342,MAT_T1_05098,17.75
MAT_T0_00342,MAT_T1_03165,11.29
MAT_T0_00342,MAT_T1_03116,11.0
MAT_T0_00360,MAT_T1_02019,12.4
MAT_T0_00360,MAT_T1_06505,1.1
MAT_T0_00360,MAT_T1_06724,11.98
MAT_T0_00360,MAT_T1_01801,4.54
MAT_T0_00360,MAT_T1_02597,10.97
MAT_T0_00360,MAT_T1_04867,17.9
MAT_T0_00360,MAT_T1_03695,18.35
MAT_T0_00398,MAT_T1_01401,15.11
MAT_T0_00398,MAT_T1_04056,7.77
MAT_T0_00398,MAT_T1_05817,19.98
MAT_T0_00398,MAT_T1_03707,3.14
MAT_T0_00420,MAT_T1_06486,19.14
MAT_T0_00420,MAT_T1_01150,15.85
MAT_T0_00420,MAT_T1_06082,19.31
MAT_T0_00440,MAT_T1_03360,11.41
MAT_T0_00440,MAT_T1_05439,10.29
MAT_T0_00440,MAT_T1_01710,8.53
MAT_T0_00440,MAT_T1_02484,11.69
MAT_T0_00440,MAT_T1_04522,13.06
MAT_T0_00440,MAT_T1_05124,3.76
MAT_T0_00440,MAT_T1_05711,5.57
MAT_T0_00440,MAT_T1_05911,1.32
MAT_T0_00440,MAT_T1_02179,5.9
MAT_T0_00473,MAT_T1_02507,10.86
MAT_T0_00473,MAT_T1_04379,8.85
MAT_T0_00473,MAT_T1_02726,18.07
MAT_T0_00473,MAT_T1_04593,6.2
MAT_T0_00473,MAT_T1_03994,9.18
MAT_T0_00475,MAT_T1_04999,8.47
MAT_T0_00475,MAT_T1_02857,10.33
MAT_T0_00475,MAT_T1_01038,2.68
MAT_T0_00507,MAT_T1_00378,3.01
MAT_T0_00507,MAT_T1_04265,7.33
MAT_T0_00507,MAT_T1_02413,17.91
MAT_T0_00537,MAT_T1_06061,8.59
MAT_T0_00537,MAT_T1_04630,3.31
MAT_T0_00537,MAT_T1_05009,7.81
MAT_T0_00547,MAT_T1_03211,15.24
MAT_T0_00547,MAT_T1_00029,6.12
MAT_T0_00547,MAT_T1_05392,16.19
MAT_T0_00547,MAT_T1_01062,8.03
MAT_T0_00547,MAT_T1_01104,4.39
MAT_T0_00558,MAT_T1_01117,14.36
MAT_T0_00558,MAT_T1_03373,17.94
