material_id,description,base_unit
MAT_T3_00001,Cell_Cylindrical_4680,EA
MAT_T4_00002,Nickel_Class1,KG
MAT_T3_00003,Cell_Pouch,EA
MAT_T4_00004,Lithium_Hydroxide,KG
MAT_T0_00005,EV_Sedan,EA
MAT_T3_00006,Anode_Sheet,EA
MAT_T2_00007,BMS_Circuit,EA
MAT_T3_00008,Cell_Prismatic,EA
MAT_T1_00009,Drive_Unit,EA
MAT_T4_00010,Graphite_Synth,KG
MAT_T2_00011,Module_LFP,EA
MAT_T4_00012,Lithium_Hydroxide,KG
MAT_T3_00013,Anode_Sheet,EA
MAT_T4_00014,Copper_Foil,KG
MAT_T3_00015,Anode_Sheet,EA
MAT_T4_00016,Nickel_Class1,KG
MAT_T0_00017,EV_SUV,EA
MAT_T4_00018,Lithium_Hydroxide,KG
MAT_T4_00019,Copper_Foil,KG
MAT_T1_00020,Battery_Pack_Std,EA
MAT_T1_00021,Drive_Unit,EA
MAT_T3_00022,Cell_Cylindrical_4680,EA
MAT_T4_00023,Lithium_Hydroxide,KG
MAT_T3_00024,Cell_Cylindrical_4680,EA
MAT_T3_00025,Anode_Sheet,EA
MAT_T1_00026,Inverter_Assy,EA
MAT_T0_00027,EV_SUV,EA
MAT_T4_00028,Copper_Foil,KG
MAT_T1_00029,Drive_Unit,EA
MAT_T3_00030,Cell_Prismatic,EA
MAT_T4_00031,Lithium_Hydroxide,KG
MAT_T2_00032,Cooling_Plate,EA
MAT_T4_00033,Cobalt_Sulfate,KG
MAT_T1_00034,Drive_Unit,EA
MAT_T3_00035,Anode_Sheet,EA
MAT_T2_00036,Cooling_Plate,EA
MAT_T4_00037,Cobalt_Sulfate,KG
MAT_T2_00038,BMS_Circuit,EA
MAT_T3_00039,Cell_Prismatic,EA
MAT_T3_00040,Anode_Sheet,EA
MAT_T2_00041,BMS_Circuit,EA
MAT_T4_00042,Cobalt_Sulfate,KG
MAT_T2_00043,Module_LFP,EA
MAT_T4_00044,Nickel_Class1,KG
MAT_T2_00045,Module_LFP,EA
MAT_T4_00046,Graphite_Synth,KG
MAT_T1_00047,Drive_Unit,EA
MAT_T3_00048,Cell_Cylindrical_4680,EA
MAT_T2_00049,Module_LFP,EA
MAT_T4_00050,Cobalt_Sulfate,KG
MAT_T2_00051,Module_NMC,EA
MAT_T4_00052,Graphite_Synth,KG
MAT_T4_00053,Lithium_Hydroxide,KG
MAT_T2_00054,Module_NMC,EA
MAT_T3_00055,Cell_Pouch,EA
MAT_T1_00056,Inverter_Assy,EA
MAT_T3_00057,Cell_Pouch,EA
MAT_T4_00058,Nickel_Class1,KG
MAT_T4_00059,Graphite_Synth,KG
MAT_T3_00060,Cell_Pouch,EA
MAT_T2_00061,BMS_Circuit,EA
MAT_T3_00062,Cell_Prismatic,EA
MAT_T1_00063,Inverter_Assy,EA
MAT_T4_00064,Nickel_Class1,KG
MAT_T3_00065,Cell_Cylindrical_4680,EA
MAT_T4_00066,Nickel_Class1,KG
MAT_T2_00067,Cooling_Plate,EA
MAT_T2_00068,Module_LFP,EA
MAT_T2_00069,Module_NMC,EA
MAT_T0_00070,EV_SUV,EA
