supplier_id,name,country
SUP_JP_00001,"Rodriguez, Figueroa and Sanchez",JP
SUP_CN_00002,Doyle Ltd,CN
SUP_CN_00003,"Mcclain, Miller and Henderson",CN
SUP_CN_00004,Davis and Sons,CN
SUP_DE_00005,"Guzman, Hoffman and Baldwin",DE
SUP_JP_00006,"Gardner, Robinson and Lawrence",JP
SUP_US_00007,Blake and Sons,US
SUP_CN_00008,"Henderson, Ramirez and Lewis",CN
SUP_CN_00009,Garcia-James,CN
SUP_CN_00010,Abbott-Munoz,CN
SUP_CN_00011,Blair PLC,CN
SUP_KR_00012,Dudley Group,KR
SUP_CN_00013,Arnold Ltd,CN
SUP_CN_00014,"Mcclure, Ward and Lee",CN
SUP_JP_00015,Williams and Sons,JP
SUP_KR_00016,Galloway-Wyatt,KR
SUP_CN_00017,James Group,CN
SUP_KR_00018,"Flowers, Martin and Kelly",KR
SUP_US_00019,"Adams, Zuniga and Wong",US
SUP_CN_00020,"Reid, Ferguson and Sanchez",CN
SUP_US_00021,Gray-Mayo,US
SUP_JP_00022,"Watts, Robinson and Nguyen",JP
SUP_CN_00023,Perez Inc,CN
SUP_CN_00024,Morales-Jones,CN
SUP_XX_00025,"Walter, Edwards and Rios",XX
SUP_CN_00026,Wilkerson-Day,CN
SUP_CN_00027,Baker and Sons,CN
SUP_CN_00028,"Hoffman, Baker and Richards",CN
SUP_US_00029,"Ross, Robinson and Bright",US
SUP_JP_00030,"Snyder, Campos and Callahan",JP
SUP_US_00031,Burton Ltd,US
SUP_DE_00032,Carlson-Cruz,DE
SUP_KR_00033,"Ferrell, Rice and Maddox",KR
SUP_XX_00034,Frazier Inc,XX
SUP_CN_00035,"Dyer, Potter and Mack",CN
SUP_KR_00036,Rodriguez-Graham,KR
SUP_US_00037,Smith-Bowen,US
SUP_JP_00038,"Baker, Mason and White",JP
SUP_US_00039,Harrell LLC,US
SUP_KR_00040,"Romero, Gonzalez and Brooks",KR
SUP_DE_00041,Ryan PLC,DE
SUP_CN_00042,George Group,CN
SUP_CN_00043,Rodriguez LLC,CN
SUP_CN_00044,Allen-Allen,CN
SUP_CN_00045,"Arroyo, Miller and Tucker",CN
SUP_CN_00046,Spence PLC,CN
SUP_CN_00047,Anderson Group,CN
SUP_CN_00048,"Martin, Rose and Obrien",CN
SUP_JP_00049,Hickman Ltd,JP
SUP_CN_00050,"Harris, Collins and Carney",CN
SUP_CN_00051,"Brooks, Lam and Hayes",CN
SUP_CN_00052,Walker LLC,CN
SUP_CN_00053,Chapman and Sons,CN
SUP_XX_00054,"Robinson, Jones and Welch",XX
SUP_JP_00055,Jones Inc,JP
SUP_JP_00056,Jones-Young,JP
SUP_CN_00057,"Washington, Ryan and Cummings",CN
SUP_DE_00058,"Johnston, Sanchez and Kennedy",DE
SUP_CN_00059,Lee-Davis,CN
SUP_CN_00060,Gomez-Jenkins,CN
SUP_XX_00061,"Brown, Valdez and Lucas",XX
SUP_JP_00062,Powell LLC,JP
SUP_KR_00063,Wright and Sons,KR
SUP_JP_00064,"West, Henderson and Ramirez",JP
SUP_US_00065,Baxter Inc,US
SUP_DE_00066,Morton-Chase,DE
SUP_CN_00067,Williams PLC,CN
SUP_CN_00068,Novak and Sons,CN
SUP_CN_00069,Russell Group,CN
SUP_CN_00070,Hancock Inc,CN
SUP_CN_00071,Gray Group,CN
SUP_XX_00072,House-Glover,XX
SUP_US_00073,Henderson-Bernard,US
SUP_CN_00074,"Stanley, Tucker and Lee",CN
SUP_JP_00075,Novak PLC,JP
SUP_CN_00076,"Daniels, Adkins and Brown",CN
SUP_XX_00077,"Woods, Calhoun and Schmidt",XX
SUP_KR_00078,Yu Inc,KR
SUP_CN_00079,Jones Inc,CN
SUP_CN_00080,"Hensley, Powell and David",CN
SUP_KR_00081,"Sanchez, Wheeler and Harvey",KR
SUP_CN_00082,Sandoval-Cunningham,CN
SUP_KR_00083,Donovan-Harris,KR
SUP_US_00084,"Edwards, Baker and Anderson",US
SUP_CN_00085,"Evans, Stewart and Walton",CN
